Stimulus,TMS,Correct_Key,TMStarget,Task,TrialN,Order,Phoneme1,Phoneme2,P1_TSidx,P2_TSidx,TMS_TSidx,Place,Manner,Voicing,Category
uD_happy2,1,3,tongue,phonemes,1,,u,d,244070,244414,243970,alveolar,stop,no,alveolar
aD_angry1,1,3,tongue,phonemes,2,vC,a,d,252062,252295,251962,alveolar,stop,no,alveolar
Pu_angry2,1,2,tongue,phonemes,3,Cv,p,u,260087,260202,259987,bilabial,stop,no,bilabial
iT_angry2,0,4,control_tongue,phonemes,4,vC,i,t,268094,268338,267994,alveolar,stop,no,alveolar
Bo_angry2,1,1,tongue,phonemes,5,Cv,b,o,276073,276127,275973,bilabial,stop,yes,bilabial
iD_happy1,1,3,tongue,phonemes,6,vC,i,d,284065,284386,283965,alveolar,stop,no,alveolar
eB_angry1,1,1,tongue,phonemes,7,vC,e,b,292090,292410,291990,alveolar,stop,no,alveolar
aD_happy1,1,3,tongue,phonemes,8,vC,a,d,300083,300340,299983,alveolar,stop,no,alveolar
Pa_angry1,1,2,tongue,phonemes,9,Cv,p,a,308074,308208,307974,bilabial,stop,no,bilabial
eT_happy2,0,4,control_tongue,phonemes,10,vC,e,t,316064,316327,315964,alveolar,stop,no,alveolar
Da_happy1,1,3,tongue,phonemes,11,Cv,d,a,324092,324168,323992,alveolar,stop,yes,alveolar
Bi_happy1,1,1,tongue,phonemes,12,Cv,b,i,332084,332138,331984,bilabial,stop,yes,bilabial
Be_angry1,1,1,tongue,phonemes,13,Cv,b,e,340077,340130,339977,bilabial,stop,yes,bilabial
Pu_angry1,0,2,control_tongue,phonemes,14,Cv,p,u,348078,348161,347978,bilabial,stop,no,bilabial
uT_angry1,1,4,tongue,phonemes,15,vC,u,t,356129,356448,356029,alveolar,stop,no,alveolar
Di_angry1,1,3,tongue,phonemes,16,Cv,d,i,364086,364172,363986,alveolar,stop,yes,alveolar
uT_happy2,0,4,control_tongue,phonemes,17,vC,u,t,372067,372395,371967,alveolar,stop,no,alveolar
eB_happy2,0,1,control_tongue,phonemes,18,vC,e,b,380067,380309,379967,alveolar,stop,no,alveolar
Do_happy2,0,3,control_tongue,phonemes,19,Cv,d,o,388045,388097,387945,alveolar,stop,yes,alveolar
Pu_happy2,1,2,tongue,phonemes,20,Cv,p,u,396088,396170,395988,bilabial,stop,no,bilabial
iD_happy2,0,3,control_tongue,phonemes,21,vC,i,d,404068,404407,403968,alveolar,stop,no,alveolar
Te_angry1,1,4,tongue,phonemes,22,Cv,t,e,412106,412219,412006,alveolar,stop,no,alveolar
Ba_angry2,1,1,tongue,phonemes,23,Cv,b,a,420065,420118,419965,bilabial,stop,yes,bilabial
oD_angry1,0,3,control_tongue,phonemes,24,vC,o,d,428112,428531,428012,alveolar,stop,no,alveolar
Di_angry2,1,3,tongue,phonemes,25,Cv,d,i,436083,436172,435983,alveolar,stop,yes,alveolar
Bu_angry1,1,1,tongue,phonemes,26,Cv,b,u,444109,444178,444009,bilabial,stop,yes,bilabial
Pe_angry2,0,2,control_tongue,phonemes,27,Cv,p,e,452093,452239,451993,bilabial,stop,no,bilabial
Ti_happy1,1,4,tongue,phonemes,28,Cv,t,i,460093,460188,459993,alveolar,stop,no,alveolar
uP_happy1,1,2,tongue,phonemes,29,vC,u,p,468086,468367,467986,alveolar,stop,no,alveolar
uB_angry2,0,1,control_tongue,phonemes,30,vC,u,b,476064,476403,475964,alveolar,stop,no,alveolar
iT_happy2,1,4,tongue,phonemes,31,vC,i,t,484069,484344,483969,alveolar,stop,no,alveolar
uP_angry1,0,2,control_tongue,phonemes,32,vC,u,p,492101,492443,492001,alveolar,stop,no,alveolar
Do_angry1,1,3,tongue,phonemes,33,Cv,d,o,500087,500140,499987,alveolar,stop,yes,alveolar
Bi_angry1,0,1,control_tongue,phonemes,34,Cv,b,i,508069,508131,507969,bilabial,stop,yes,bilabial
De_happy2,1,3,tongue,phonemes,35,Cv,d,e,516073,516124,515973,alveolar,stop,yes,alveolar
oT_angry1,0,4,control_tongue,phonemes,36,vC,o,t,524109,524440,524009,alveolar,stop,no,alveolar
Da_happy2,1,3,tongue,phonemes,37,Cv,d,a,532091,532146,531991,alveolar,stop,yes,alveolar
Be_happy1,1,1,tongue,phonemes,38,Cv,b,e,540082,540136,539982,bilabial,stop,yes,bilabial
iB_happy2,1,1,tongue,phonemes,39,vC,i,b,548075,548399,547975,alveolar,stop,no,alveolar
Pi_happy2,0,2,control_tongue,phonemes,40,Cv,p,i,556067,556167,555967,bilabial,stop,no,bilabial
Bi_happy2,1,1,tongue,phonemes,41,Cv,b,i,564091,564145,563991,bilabial,stop,yes,bilabial
iP_angry2,1,2,tongue,phonemes,42,vC,i,p,572085,572406,571985,alveolar,stop,no,alveolar
eT_angry2,1,4,tongue,phonemes,43,vC,e,t,580076,580366,579976,alveolar,stop,no,alveolar
oD_angry2,0,3,control_tongue,phonemes,44,vC,o,d,588049,588460,587949,alveolar,stop,no,alveolar
Be_happy2,0,1,control_tongue,phonemes,46,Cv,b,e,600470,600615,600370,bilabial,stop,yes,bilabial
Pa_happy1,1,2,tongue,phonemes,47,Cv,p,a,612079,612217,611979,bilabial,stop,no,bilabial
aP_angry1,1,2,tongue,phonemes,48,vC,a,p,620071,620405,619971,alveolar,stop,no,alveolar
uD_angry2,1,3,tongue,phonemes,49,vC,u,d,628095,628460,627995,alveolar,stop,no,alveolar
Ta_angry1,0,4,control_tongue,phonemes,50,Cv,t,a,636079,636187,635979,alveolar,stop,no,alveolar
eB_happy1,1,1,tongue,phonemes,51,vC,e,b,644081,644326,643981,alveolar,stop,no,alveolar
oP_angry2,0,2,control_tongue,phonemes,52,vC,o,p,652067,NaN,651967,alveolar,stop,no,alveolar
Te_happy1,0,4,control_tongue,phonemes,53,Cv,t,e,660074,660187,659974,alveolar,stop,no,alveolar
aP_happy2,1,2,tongue,phonemes,54,vC,a,p,668090,668370,667990,alveolar,stop,no,alveolar
Bo_angry1,0,1,control_tongue,phonemes,55,Cv,b,o,676099,676153,675999,bilabial,stop,yes,bilabial
Ti_angry1,0,4,control_tongue,phonemes,56,Cv,t,i,684087,684261,683987,alveolar,stop,no,alveolar
aB_angry2,0,1,control_tongue,phonemes,57,vC,a,b,692061,692401,691961,alveolar,stop,no,alveolar
Po_happy1,0,2,control_tongue,phonemes,58,Cv,p,o,700111,700206,700011,bilabial,stop,no,bilabial
aD_angry2,1,3,tongue,phonemes,59,vC,a,d,708085,708408,707985,alveolar,stop,no,alveolar
iP_angry1,1,2,tongue,phonemes,60,vC,i,p,716077,716404,715977,alveolar,stop,no,alveolar
oT_happy2,1,4,tongue,phonemes,61,vC,o,t,756073,756414,755973,alveolar,stop,no,alveolar
Ti_happy2,1,4,tongue,phonemes,62,Cv,t,i,764098,764190,763998,alveolar,stop,no,alveolar
De_angry1,0,3,control_tongue,phonemes,63,Cv,d,e,772090,772136,771990,alveolar,stop,yes,alveolar
uB_angry1,1,1,tongue,phonemes,64,vC,u,b,780117,780454,780017,alveolar,stop,no,alveolar
oD_angry1,1,3,tongue,phonemes,65,vC,o,d,788076,788495,787976,alveolar,stop,no,alveolar
Bi_angry2,0,1,control_tongue,phonemes,66,Cv,b,i,796093,796148,795993,bilabial,stop,yes,bilabial
Pe_happy1,1,2,tongue,phonemes,67,Cv,p,e,804092,804193,803992,bilabial,stop,no,bilabial
oP_happy1,0,2,control_tongue,phonemes,68,vC,o,p,812068,812403,811968,alveolar,stop,no,alveolar
iD_angry1,1,3,tongue,phonemes,69,vC,i,d,820077,820397,819977,alveolar,stop,no,alveolar
oP_angry1,1,2,tongue,phonemes,70,vC,o,p,828069,828387,827969,alveolar,stop,no,alveolar
eP_happy2,1,2,tongue,phonemes,71,vC,e,p,836093,836378,835993,alveolar,stop,no,alveolar
Bo_happy2,1,1,tongue,phonemes,72,Cv,b,o,844086,844140,843986,bilabial,stop,yes,bilabial
De_happy1,0,3,control_tongue,phonemes,73,Cv,d,e,852017,852067,851917,alveolar,stop,yes,alveolar
To_happy1,1,4,tongue,phonemes,74,Cv,t,o,860071,860153,859971,alveolar,stop,no,alveolar
aP_happy1,1,2,tongue,phonemes,75,vC,a,p,868098,868403,867998,alveolar,stop,no,alveolar
Ta_angry2,0,4,control_tongue,phonemes,76,Cv,t,a,876079,876164,875979,alveolar,stop,no,alveolar
eD_angry2,0,3,control_tongue,phonemes,77,vC,e,d,884090,884399,883990,alveolar,stop,no,alveolar
iB_angry2,0,1,control_tongue,phonemes,78,vC,i,b,892069,892399,891969,alveolar,stop,no,alveolar
Po_angry1,1,2,tongue,phonemes,79,Cv,p,o,900098,900177,899998,bilabial,stop,no,bilabial
Bu_angry2,0,1,control_tongue,phonemes,80,Cv,b,u,908080,908149,907980,bilabial,stop,yes,bilabial
iP_happy1,0,2,control_tongue,phonemes,81,vC,i,p,916073,916382,915973,alveolar,stop,no,alveolar
uT_angry1,1,4,tongue,phonemes,82,vC,u,t,924075,924394,923975,alveolar,stop,no,alveolar
oT_happy1,1,4,tongue,phonemes,83,vC,o,t,932069,932396,931969,alveolar,stop,no,alveolar
Pi_angry2,1,2,tongue,phonemes,84,Cv,p,i,940093,940209,939993,bilabial,stop,no,bilabial
oB_happy2,1,1,tongue,phonemes,85,vC,o,b,948086,948416,947986,alveolar,stop,no,alveolar
aT_angry2,1,4,tongue,phonemes,86,vC,a,t,956078,956393,955978,alveolar,stop,no,alveolar
Ba_happy2,0,1,control_tongue,phonemes,87,Cv,b,a,964087,964202,963987,bilabial,stop,yes,bilabial
eD_happy1,0,3,control_tongue,phonemes,89,vC,e,d,976210,976479,976110,alveolar,stop,no,alveolar
eT_angry1,1,4,tongue,phonemes,90,vC,e,t,988079,988349,987979,alveolar,stop,no,alveolar
Pa_angry2,1,2,tongue,phonemes,91,Cv,p,a,996072,996161,995972,bilabial,stop,no,bilabial
aP_angry2,1,2,tongue,phonemes,92,vC,a,p,1004099,1004441,1003999,alveolar,stop,no,alveolar
aD_happy2,1,3,tongue,phonemes,93,vC,a,d,1012090,1012355,1011990,alveolar,stop,no,alveolar
uB_happy2,0,1,control_tongue,phonemes,94,vC,u,b,1020071,1020408,1019971,alveolar,stop,no,alveolar
Du_happy2,1,3,tongue,phonemes,95,Cv,d,u,1028074,1028154,1027974,alveolar,stop,yes,alveolar
iP_happy2,0,2,control_tongue,phonemes,96,vC,i,p,1036139,1036456,1036039,alveolar,stop,no,alveolar
oT_angry2,1,4,tongue,phonemes,97,vC,o,t,1044094,1044403,1043994,alveolar,stop,no,alveolar
eD_happy2,1,3,tongue,phonemes,98,vC,e,d,1052085,1052368,1051985,alveolar,stop,no,alveolar
To_angry2,1,4,tongue,phonemes,99,Cv,t,o,1060077,1060175,1059977,alveolar,stop,no,alveolar
Du_happy1,1,3,tongue,phonemes,100,Cv,d,u,1068101,1068185,1068001,alveolar,stop,yes,alveolar
Pi_angry1,1,2,tongue,phonemes,101,Cv,p,i,1076095,1076260,1075995,bilabial,stop,no,bilabial
To_happy2,1,4,tongue,phonemes,102,Cv,t,o,1084087,1084174,1083987,alveolar,stop,no,alveolar
Du_angry2,1,3,tongue,phonemes,103,Cv,d,u,1092080,1092166,1091980,alveolar,stop,yes,alveolar
iB_happy1,1,1,tongue,phonemes,104,vC,i,b,1100071,1100407,1099971,alveolar,stop,no,alveolar
Be_angry2,1,1,tongue,phonemes,105,Cv,b,e,1108095,1108149,1107995,bilabial,stop,yes,bilabial
Pe_happy2,1,2,tongue,phonemes,106,Cv,p,e,1116089,1116232,1115989,bilabial,stop,no,bilabial
Do_angry2,0,3,control_tongue,phonemes,107,Cv,d,o,1124061,1124114,1123961,alveolar,stop,yes,alveolar
eB_angry2,1,1,tongue,phonemes,108,vC,e,b,1132075,1132345,1131975,alveolar,stop,no,alveolar
Tu_happy1,1,4,tongue,phonemes,109,Cv,t,u,1140099,1140195,1139999,alveolar,stop,no,alveolar
iT_happy1,1,4,tongue,phonemes,110,vC,i,t,1148093,1148376,1147993,alveolar,stop,no,alveolar
eP_angry1,0,2,control_tongue,phonemes,111,vC,e,p,1156073,1156362,1155973,alveolar,stop,no,alveolar
oB_angry2,1,1,tongue,phonemes,112,vC,o,b,1164076,1164408,1163976,alveolar,stop,no,alveolar
Te_angry2,1,4,tongue,phonemes,113,Cv,t,e,1172102,1172214,1172002,alveolar,stop,no,alveolar
uD_happy1,1,3,tongue,phonemes,114,vC,u,d,1180094,1180442,1179994,alveolar,stop,no,alveolar
Bo_happy1,1,1,tongue,phonemes,115,Cv,b,o,1188087,1188141,1187987,bilabial,stop,yes,bilabial
eP_happy1,1,2,tongue,phonemes,116,vC,e,p,1196078,1196363,1195978,alveolar,stop,no,alveolar
Pa_happy2,1,2,tongue,phonemes,117,Cv,p,a,1204071,1204231,1203971,bilabial,stop,no,bilabial
aT_happy2,0,4,control_tongue,phonemes,119,vC,a,t,1213151,1213392,1213051,alveolar,stop,no,alveolar
Tu_angry1,1,4,tongue,phonemes,120,Cv,t,u,1228080,1228192,1227980,alveolar,stop,no,alveolar
aB_happy2,1,1,tongue,phonemes,1,vC,a,b,1384927,1385262,1384827,alveolar,stop,no,alveolar
aT_happy2,1,4,tongue,phonemes,2,vC,a,t,1392952,1393193,1392852,alveolar,stop,no,alveolar
uP_happy2,0,2,control_tongue,phonemes,3,vC,u,p,1400935,1401265,1400835,alveolar,stop,no,alveolar
Do_angry2,1,3,tongue,phonemes,4,Cv,d,o,1408937,1408990,1408837,alveolar,stop,yes,alveolar
eP_angry1,1,2,tongue,phonemes,5,vC,e,p,1416929,1417218,1416829,alveolar,stop,no,alveolar
uT_happy1,0,4,control_tongue,phonemes,6,vC,u,t,1424943,1425260,1424843,alveolar,stop,no,alveolar
Te_happy2,1,4,tongue,phonemes,7,Cv,t,e,1432947,1433061,1432847,alveolar,stop,no,alveolar
aP_angry1,0,2,control_tongue,phonemes,8,vC,a,p,1440943,1441277,1440843,alveolar,stop,no,alveolar
Ta_angry2,1,4,tongue,phonemes,9,Cv,t,a,1448932,1449017,1448832,alveolar,stop,no,alveolar
Pu_happy2,0,2,control_tongue,phonemes,10,Cv,p,u,1456931,1457013,1456831,bilabial,stop,no,bilabial
Tu_happy1,0,4,control_tongue,phonemes,11,Cv,t,u,1464938,1465034,1464838,alveolar,stop,no,alveolar
iD_happy2,1,3,tongue,phonemes,12,vC,i,d,1472941,1473280,1472841,alveolar,stop,no,alveolar
eB_happy2,1,1,tongue,phonemes,13,vC,e,b,1480933,1481175,1480833,alveolar,stop,no,alveolar
Ba_happy2,1,1,tongue,phonemes,14,Cv,b,a,1488959,1489074,1488859,bilabial,stop,yes,bilabial
eD_angry2,1,3,tongue,phonemes,15,vC,e,d,1496951,1497260,1496851,alveolar,stop,no,alveolar
aB_happy1,1,1,tongue,phonemes,16,vC,a,b,1504944,1505266,1504844,alveolar,stop,no,alveolar
Pa_happy1,0,2,control_tongue,phonemes,17,Cv,p,a,1512956,1513094,1512856,bilabial,stop,no,bilabial
Do_happy2,1,3,tongue,phonemes,18,Cv,d,o,1520927,1520979,1520827,alveolar,stop,yes,alveolar
Bu_happy2,1,1,tongue,phonemes,19,Cv,b,u,1528954,1529022,1528854,bilabial,stop,yes,bilabial
aB_angry1,1,1,tongue,phonemes,20,vC,a,b,1536945,1537286,1536845,alveolar,stop,no,alveolar
aT_happy1,1,4,tongue,phonemes,21,vC,a,t,1544937,1545219,1544837,alveolar,stop,no,alveolar
Po_angry1,0,2,control_tongue,phonemes,22,Cv,p,o,1552924,1553003,1552824,bilabial,stop,no,bilabial
uD_angry1,1,3,tongue,phonemes,23,vC,u,d,1560955,1561345,1560855,alveolar,stop,no,alveolar
Di_happy1,1,3,tongue,phonemes,24,Cv,d,i,1568949,1569032,1568849,alveolar,stop,yes,alveolar
iB_angry1,1,1,tongue,phonemes,25,vC,i,b,1576941,1577277,1576841,alveolar,stop,no,alveolar
Ta_happy1,1,4,tongue,phonemes,26,Cv,t,a,1584933,1585070,1584833,alveolar,stop,no,alveolar
Ba_happy1,1,1,tongue,phonemes,27,Cv,b,a,1592958,1593040,1592858,bilabial,stop,yes,bilabial
eT_angry1,0,4,control_tongue,phonemes,28,vC,e,t,1600940,1601210,1600840,alveolar,stop,no,alveolar
Do_happy1,1,3,tongue,phonemes,29,Cv,d,o,1608942,1608994,1608842,alveolar,stop,yes,alveolar
oD_happy2,1,3,tongue,phonemes,30,vC,o,d,1616935,1617273,1616835,alveolar,stop,no,alveolar
Ba_angry2,1,1,tongue,phonemes,31,Cv,b,a,1624961,1625014,1624861,bilabial,stop,yes,bilabial
To_angry2,0,4,control_tongue,phonemes,32,Cv,t,o,1632954,1633052,1632854,alveolar,stop,no,alveolar
eD_happy1,1,3,tongue,phonemes,33,vC,e,d,1640945,1641214,1640845,alveolar,stop,no,alveolar
iP_happy2,1,2,tongue,phonemes,34,vC,i,p,1648937,1649254,1648837,alveolar,stop,no,alveolar
Di_angry2,0,3,control_tongue,phonemes,35,Cv,d,i,1656957,1657046,1656857,alveolar,stop,yes,alveolar
Bu_angry2,1,1,tongue,phonemes,36,Cv,b,u,1664954,1665023,1664854,bilabial,stop,yes,bilabial
Pu_angry1,1,2,tongue,phonemes,37,Cv,p,u,1672916,1672999,1672816,bilabial,stop,no,bilabial
Bu_happy1,1,1,tongue,phonemes,38,Cv,b,u,1680939,1681006,1680839,bilabial,stop,yes,bilabial
De_angry1,1,3,tongue,phonemes,39,Cv,d,e,1688931,1688977,1688831,alveolar,stop,yes,alveolar
oB_happy2,0,1,control_tongue,phonemes,40,vC,o,b,1696939,1697269,1696839,alveolar,stop,no,alveolar
